ID_Produto,Quantidade,Preco_Unitario,Data_Venda
3083,4,59.47,2022-10-01 14:37:59
3972,7,84.09,2021-12-27 03:21:33
2034,1,52.54,2021-07-18 11:15:14
733,8,30.45,2020-05-29 09:37:22
98,2,22.33,2023-04-13 04:39:52
3373,7,62.24,2022-11-28 19:14:14
1306,6,21.94,2022-12-10 19:18:14
6822,7,99.34,2020-02-08 01:39:39
9764,7,33.09,2020-06-25 02:37:33
8010,7,41.27,2021-12-14 14:55:14
8038,9,80.43,2023-06-25 11:23:04
1237,9,35.68,2022-09-17 19:55:13
1425,4,94.17,2023-05-24 05:24:13
5827,7,11.92,2021-01-09 15:22:32
7394,6,52.31,2020-12-20 14:27:56
8087,8,14.29,2024-06-29 07:47:45
9334,9,26.82,2022-01-31 23:47:38
6864,2,87.43,2022-04-10 10:12:01
7537,6,12.08,2022-11-23 13:57:46
980,5,90.21,2023-05-01 00:41:53
4646,2,26.47,2020-06-16 16:56:45
3228,1,99.67,2024-08-03 02:09:55
7503,7,61.86,2024-10-12 20:47:08
7935,5,88.43,2021-04-29 09:56:01
9106,3,76.75,2021-05-31 08:48:34
9700,4,10.52,2022-07-09 19:59:44
4216,3,17.61,2020-07-05 19:44:49
9596,9,51.79,2021-07-14 04:48:36
101,8,55.84,2021-10-08 21:49:22
2104,7,59.22,2023-05-25 14:12:45
4338,6,67.35,2020-01-20 05:41:43
1183,6,32.35,2023-11-04 11:49:02
3803,7,42.77,2021-11-08 17:00:43
6200,5,98.62,2021-08-23 17:48:02
765,6,29.17,2020-10-03 19:37:18
9887,2,51.28,2021-06-06 22:34:30
2231,9,36.0,2022-09-04 05:14:39
7086,2,83.29,2022-05-06 03:48:07
7582,4,29.51,2020-09-18 20:15:13
7239,2,85.2,2021-06-03 04:54:32
6676,8,41.06,2021-01-05 15:58:12
2907,1,52.24,2020-11-09 10:43:12
2734,1,21.3,2020-12-07 13:53:02
8043,2,67.32,2022-11-08 13:52:12
4322,3,51.37,2024-11-24 03:39:26
3884,7,76.82,2023-04-12 02:20:10
6194,1,31.01,2021-08-08 21:22:49
8551,5,17.52,2020-06-06 06:00:26
2133,2,49.77,2021-01-16 19:07:16
5673,1,89.81,2020-07-10 15:53:13
7303,1,26.36,2022-02-01 19:33:41
8412,1,98.56,2024-09-25 09:15:17
5466,9,11.4,2020-04-18 23:55:35
1523,1,68.42,2023-11-24 22:08:17
6918,6,65.45,2020-03-23 13:14:17
4983,5,96.41,2022-10-01 05:37:25
6275,8,99.01,2024-05-27 18:55:39
7064,1,99.58,2024-01-05 03:51:22
7641,6,81.8,2021-06-07 23:34:15
9644,1,61.58,2020-10-14 16:07:52
4358,4,14.47,2023-08-13 01:53:45
7529,5,13.95,2023-06-25 12:20:48
2688,3,82.39,2023-01-01 19:19:28
7698,8,99.49,2020-09-22 09:32:51
1789,6,13.56,2021-05-28 21:52:06
3411,2,19.01,2020-08-07 11:18:26
6210,6,17.49,2022-07-13 13:10:33
3597,1,43.56,2024-02-11 18:41:58
479,5,91.18,2021-03-21 23:45:57
4130,2,85.44,2022-06-19 19:22:38
1488,6,30.42,2022-02-03 12:57:55
9961,8,80.09,2021-05-10 19:20:50
1977,7,96.3,2023-06-02 06:58:38
9062,8,11.0,2021-04-23 21:20:59
4857,7,33.58,2020-06-01 05:56:45
6179,6,31.84,2024-10-01 16:45:55
4877,6,17.17,2024-12-22 08:40:00
6232,9,67.11,2021-10-04 17:33:59
8553,9,28.3,2021-07-11 20:28:36
4657,4,81.51,2021-04-16 05:30:41
9368,8,35.71,2021-12-30 12:43:20
789,1,19.06,2020-05-15 11:50:33
7879,8,70.26,2022-10-27 23:24:01
4085,6,34.67,2023-03-01 06:12:27
2454,1,91.27,2023-04-20 10:28:38
1260,4,30.39,2020-07-25 22:08:04
8222,4,89.31,2022-06-21 18:44:04
3298,1,17.5,2023-12-07 01:24:28
2611,1,72.51,2021-04-18 13:16:01
8858,4,99.72,2024-09-27 18:10:44
4352,9,79.09,2022-08-15 14:49:05
8733,2,38.84,2020-10-24 08:50:36
1645,9,10.07,2023-08-03 03:43:27
514,8,91.44,2022-11-09 07:07:00
3238,5,35.68,2023-05-19 23:23:49
1198,6,46.18,2024-08-13 16:12:31
4421,5,95.64,2024-05-26 06:55:35
3890,4,22.38,2023-12-23 14:18:57
3632,5,23.0,2024-11-20 22:20:37
3584,3,78.08,2023-04-27 05:57:10
8757,9,14.11,2022-07-13 21:10:40
1935,6,50.32,2021-04-02 01:29:17
871,3,11.34,2024-11-20 18:02:03
3422,3,30.26,2020-01-14 19:59:20
4190,5,35.72,2022-08-13 11:44:07
7512,3,94.65,2022-02-13 15:41:24
7651,3,78.86,2024-10-12 20:02:09
2190,1,73.85,2021-02-10 22:02:16
7218,6,61.42,2022-06-22 23:05:27
3443,8,34.87,2023-03-26 17:44:36
774,5,18.47,2020-09-10 13:41:55
5163,1,83.85,2021-08-05 21:10:07
9502,1,85.33,2020-09-12 22:27:15
7994,7,74.11,2024-01-24 18:59:34
3565,1,23.71,2021-09-28 18:41:12
3226,3,35.64,2024-06-21 13:46:58
9960,3,30.57,2024-07-04 10:35:00
3075,1,11.36,2023-09-26 12:54:56
9011,5,35.49,2024-04-15 03:22:37
1371,4,93.44,2020-07-14 04:41:40
1473,2,82.38,2022-04-11 08:24:56
8323,2,89.12,2022-11-20 23:00:15
8785,1,14.05,2021-11-22 23:21:32
7623,8,88.36,2021-05-09 13:47:40
1287,9,17.69,2023-11-27 23:26:02
8635,8,83.02,2022-11-25 16:32:05
2578,4,41.34,2023-05-15 08:08:22
5190,2,11.72,2023-11-16 14:40:03
9701,2,72.94,2020-01-24 02:42:24
2598,8,76.43,2021-12-26 16:27:37
8362,9,49.62,2023-10-26 02:28:11
4521,1,13.92,2020-08-11 03:48:05
9431,8,29.56,2021-12-26 17:55:02
1049,7,48.39,2023-12-03 02:31:51
8990,1,92.2,2024-07-21 04:06:13
8916,2,31.9,2023-09-12 18:23:27
5029,5,43.19,2021-02-23 04:20:43
4150,7,19.27,2021-01-06 23:54:53
4708,8,28.89,2022-05-15 04:49:34
5783,5,92.14,2021-03-10 01:49:40
617,8,48.54,2021-08-18 21:25:28
8584,8,56.67,2024-02-23 07:46:00
6487,3,13.46,2020-05-12 07:51:31
1616,4,47.86,2023-08-31 14:12:34
8990,4,50.09,2022-09-16 06:34:27
7086,8,52.06,2020-10-02 19:31:00
6449,8,76.45,2023-08-28 16:24:45
4933,5,88.47,2021-06-13 07:26:52
8393,7,28.72,2020-09-18 18:36:56
1832,7,87.33,2024-01-11 14:50:40
3038,1,55.72,2024-02-05 09:21:19
8970,1,28.9,2021-08-15 00:34:18
2418,5,83.42,2022-04-20 22:22:34
7250,6,21.58,2020-11-10 12:02:59
3842,1,46.44,2021-09-19 04:24:48
8714,5,89.93,2024-01-28 07:44:29
6660,2,91.25,2021-03-28 13:37:55
5077,7,74.42,2023-10-05 10:48:21
4199,5,82.31,2020-10-31 00:14:14
6009,7,44.87,2021-12-18 11:37:43
1172,1,38.87,2022-01-05 11:51:07
7175,5,93.31,2021-07-09 23:46:40
9433,9,78.65,2020-04-30 00:32:19
7536,3,64.25,2024-10-08 03:59:57
5216,3,37.78,2024-11-17 01:24:15
9407,9,51.16,2022-06-29 21:19:53
8541,4,30.4,2022-09-25 11:36:57
8385,2,50.48,2021-03-15 15:10:30
3718,8,36.49,2021-06-05 08:29:48
329,8,44.62,2023-09-08 10:07:56
8906,7,18.29,2020-09-23 10:47:10
3859,9,65.22,2023-02-11 01:23:39
5091,6,55.08,2024-06-20 20:47:20
7648,5,29.12,2020-09-22 18:09:32
1058,2,18.97,2020-07-20 00:14:59
5211,4,92.03,2022-08-02 23:16:21
4606,5,65.57,2023-07-15 10:10:46
2057,3,92.19,2024-04-24 15:08:42
9852,3,40.42,2020-03-08 21:21:19
9623,2,35.32,2023-11-19 00:49:32
421,3,53.26,2024-10-27 15:56:57
8901,3,25.27,2021-08-11 07:51:12
2531,1,41.52,2024-01-01 23:20:39
6093,3,39.46,2023-10-10 14:02:53
9021,5,61.75,2023-06-16 23:48:57
4717,2,59.41,2021-11-28 12:17:25
1977,5,38.32,2023-11-16 15:03:24
9060,7,75.15,2021-05-07 19:55:27
3739,5,57.86,2021-04-04 03:48:10
351,7,76.85,2022-06-19 05:37:46
9626,5,95.69,2020-05-07 00:48:48
3809,1,68.2,2021-02-08 03:31:16
3496,2,54.86,2021-10-03 18:23:11
3335,5,26.54,2024-10-01 15:37:04
6365,7,19.81,2023-06-19 11:07:27
8289,3,49.15,2020-04-07 21:50:30
9694,5,11.98,2020-03-05 05:20:49
6603,5,72.75,2022-08-05 09:07:57
8739,8,57.99,2020-08-20 14:46:55
4745,5,45.73,2023-02-14 15:19:07
887,2,96.99,2022-04-29 23:05:02
4301,7,53.94,2020-12-10 06:33:27
4419,8,99.19,2020-06-12 00:08:07
8841,9,99.9,2021-11-27 14:59:14
1469,5,49.64,2024-10-24 07:14:24
2785,7,68.47,2024-07-18 20:04:51
9217,4,64.76,2023-11-17 08:25:48
9202,1,92.37,2024-06-15 01:06:36
4205,8,64.01,2023-02-16 04:57:41
3296,9,78.44,2023-10-30 13:07:58
4244,7,10.23,2020-06-07 10:09:57
8840,8,96.6,2023-04-14 18:22:13
6270,5,44.22,2022-11-12 10:38:14
5428,7,49.43,2022-01-22 07:46:38
9864,9,31.73,2020-11-01 08:43:21
8537,8,37.16,2023-03-29 14:55:49
6982,3,93.79,2024-07-31 22:38:05
8047,8,58.84,2021-04-14 13:01:49
6185,7,88.03,2020-08-07 11:48:34
3247,7,50.52,2021-06-24 14:44:11
6452,3,26.16,2022-07-04 10:40:14
9256,8,92.3,2022-08-23 11:44:54
8374,9,54.14,2024-01-21 23:36:20
4458,8,76.71,2024-12-15 07:21:20
7771,2,80.17,2020-11-24 14:51:25
6947,2,67.36,2021-07-15 19:03:56
5851,2,35.92,2024-09-15 14:35:57
7,7,58.26,2021-08-17 00:51:06
1744,2,56.77,2021-03-19 04:32:00
7148,9,67.13,2021-02-21 04:00:34
3371,2,91.39,2022-06-22 02:40:48
2155,5,65.08,2024-07-05 13:33:19
498,6,33.36,2021-01-20 15:50:51
6521,1,31.3,2020-09-15 13:24:34
4434,6,21.45,2020-02-01 17:39:14
8340,1,27.65,2023-09-25 03:38:08
6742,9,71.02,2022-09-15 18:13:16
809,9,10.96,2023-10-25 20:42:12
7411,6,46.71,2022-07-23 19:00:09
3140,8,60.72,2020-11-10 12:05:09
6747,8,19.5,2022-12-02 22:02:32
6937,7,34.44,2020-04-03 04:12:26
6469,4,99.39,2023-09-13 16:07:38
6555,2,65.45,2022-01-09 11:07:25
696,5,94.52,2023-02-16 13:27:16
6849,3,21.19,2020-04-28 08:32:32
4771,6,67.81,2021-12-23 11:02:56
5347,7,54.39,2020-01-06 19:28:25
9461,7,50.72,2023-08-03 15:54:09
7512,3,97.42,2023-01-26 01:02:39
5101,2,93.32,2022-11-29 20:19:51
4699,7,41.24,2022-05-06 23:37:53
6010,2,12.53,2021-06-25 15:20:08
6867,5,19.69,2022-12-03 21:07:15
3124,9,86.55,2020-02-21 02:06:38
832,9,45.07,2020-02-17 11:06:05
5189,9,78.51,2020-11-26 13:35:08
4617,1,15.27,2022-11-24 20:56:05
7378,8,99.19,2023-08-12 12:42:34
9713,3,72.66,2021-06-06 07:16:40
9439,4,46.99,2024-03-17 19:49:38
8755,8,11.32,2020-06-21 05:11:22
7036,8,25.56,2021-12-02 21:35:18
1303,7,11.27,2024-12-12 03:17:47
7489,2,50.52,2024-04-03 05:12:11
8804,9,68.9,2022-10-05 15:44:18
467,1,10.18,2024-11-20 17:26:56
2002,1,79.33,2024-02-29 09:27:42
9800,4,74.27,2023-11-07 11:24:07
4203,5,96.01,2020-01-30 20:16:37
5314,5,33.15,2022-07-22 13:41:02
3325,3,49.12,2021-03-27 23:46:05
1107,8,75.21,2024-03-17 02:18:56
9438,7,46.94,2024-06-30 10:26:24
1670,9,51.86,2021-03-03 10:08:09
498,2,48.33,2023-01-27 05:11:46
3716,5,18.49,2020-06-30 00:23:06
3809,4,27.87,2023-08-17 06:00:22
9289,3,58.17,2020-11-26 00:04:55
3498,8,71.49,2023-02-14 19:27:44
2748,6,48.37,2022-12-30 22:59:20
6261,6,82.65,2020-09-13 13:19:42
3967,6,26.76,2020-03-11 01:39:20
2044,6,79.78,2022-09-18 05:32:02
6217,5,36.67,2023-11-07 21:52:13
3480,5,93.38,2020-05-10 14:55:36
7563,2,46.27,2023-12-02 05:32:02
1816,4,60.33,2023-08-22 17:36:23
869,6,40.88,2024-11-01 10:12:23
7841,1,14.69,2024-06-14 17:18:40
2548,9,72.46,2022-04-19 09:51:08
7463,2,26.09,2022-06-04 15:52:59
1079,9,46.72,2020-11-04 04:47:06
1097,1,17.74,2024-11-24 18:22:19
47,1,94.69,2022-12-01 00:35:36
1008,3,43.58,2020-08-21 19:38:58
9103,9,91.01,2020-03-22 17:27:53
5878,1,18.57,2024-10-14 22:43:21
836,9,59.99,2020-11-10 17:51:17
1409,9,98.13,2024-08-25 01:51:40
6284,6,23.17,2022-07-31 15:32:19
2611,6,28.14,2024-06-28 18:47:11
9272,8,84.26,2022-06-29 01:16:23
6739,4,58.84,2023-01-26 12:52:24
2383,3,33.93,2023-04-12 00:30:50
7831,3,40.66,2020-09-08 14:58:15
8110,8,97.77,2021-04-08 07:42:44
868,5,97.74,2021-05-04 22:34:25
7698,9,73.49,2022-07-25 11:14:15
4174,2,59.33,2022-06-02 09:50:12
5136,6,52.4,2021-03-28 03:22:44
5112,2,42.07,2022-12-31 19:59:46
6760,3,92.25,2022-06-21 08:04:42
6924,3,69.95,2021-02-20 23:16:29
5972,2,95.02,2024-08-02 09:58:28
3917,5,32.94,2022-05-15 22:55:06
9932,4,43.49,2021-05-24 00:03:23
4229,9,60.37,2021-08-28 21:42:34
9230,2,99.88,2022-09-14 05:36:35
2314,3,92.94,2024-04-29 05:28:43
1695,5,82.0,2024-09-03 09:08:56
7025,8,97.58,2021-09-24 13:02:31
1917,4,39.12,2020-06-01 17:08:03
4666,6,46.16,2021-01-01 03:11:39
6942,9,92.72,2021-11-03 10:04:03
9184,8,89.33,2021-03-13 15:05:59
9951,2,22.23,2023-06-21 04:29:31
6867,9,64.31,2022-07-20 21:27:33
2575,1,47.69,2022-04-12 17:42:23
9249,8,77.66,2020-05-18 07:59:19
9204,7,20.19,2024-04-14 02:32:40
649,3,92.49,2022-05-21 06:38:45
1298,2,94.64,2022-04-23 04:44:59
6386,3,24.14,2020-01-27 01:01:00
8659,1,75.22,2024-10-25 16:13:26
3050,7,26.62,2022-03-08 20:56:35
4652,2,72.05,2024-04-28 00:32:09
8635,2,85.08,2024-08-19 23:13:23
8444,3,82.41,2023-11-13 00:19:26
8989,8,56.86,2020-12-08 13:39:20
7191,9,43.38,2020-11-13 19:30:23
1806,4,54.46,2020-05-30 23:30:00
8661,6,39.31,2024-02-21 22:24:42
9131,2,38.61,2024-01-28 12:51:21
8398,8,74.47,2024-12-28 20:12:04
972,9,36.07,2024-08-19 01:49:38
4397,3,81.66,2024-11-07 16:46:55
233,9,14.94,2020-06-05 17:08:55
3031,3,43.56,2020-06-19 08:44:38
6399,8,17.14,2020-04-25 10:38:35
3284,4,10.88,2022-03-29 08:22:06
5002,7,99.98,2023-09-17 14:48:02
1588,2,33.93,2023-07-06 08:39:49
6665,1,72.27,2021-12-03 00:29:15
619,7,40.76,2020-10-27 05:08:13
3416,4,63.02,2021-01-02 01:00:50
6275,3,17.72,2024-11-12 23:06:38
8899,9,63.12,2024-06-14 11:11:35
747,5,71.81,2021-09-11 14:21:45
1830,4,48.17,2022-04-27 15:55:45
4807,7,59.86,2020-11-24 18:57:26
4495,3,73.05,2021-01-10 01:39:10
2882,7,22.28,2024-07-02 00:12:32
2849,1,28.88,2023-07-20 11:34:10
9098,8,35.03,2022-05-11 07:41:00
871,1,66.08,2022-11-21 05:17:03
4296,7,10.73,2020-04-29 08:21:23
8152,5,67.1,2021-01-07 09:26:53
8849,6,61.67,2024-05-17 09:51:58
2766,2,27.76,2024-06-27 20:36:27
5127,2,78.77,2021-04-18 11:57:46
8297,5,75.81,2024-09-12 21:47:52
730,7,29.82,2022-03-13 17:04:23
4418,8,32.88,2022-09-18 00:12:39
8492,9,18.81,2024-03-27 23:14:02
7858,1,76.22,2021-05-01 11:57:14
5842,3,10.46,2024-08-06 04:01:15
2670,5,75.47,2022-09-08 14:11:27
8751,3,74.67,2023-06-07 07:36:09
6601,7,21.36,2021-03-01 12:42:07
2824,9,44.85,2021-05-01 00:11:44
6607,3,98.06,2024-01-08 23:16:55
1020,9,18.78,2024-02-02 07:37:08
1812,1,12.09,2022-08-05 13:33:07
7373,5,98.79,2023-04-21 05:04:21
4042,3,24.9,2022-07-25 08:10:35
2139,9,15.71,2022-05-31 21:31:28
9609,3,88.53,2020-09-21 09:05:37
7943,5,24.96,2023-12-24 23:35:37
4279,5,50.53,2023-06-08 00:32:50
6637,3,39.02,2023-04-14 04:48:26
3317,2,68.5,2023-05-06 20:57:51
7985,6,62.38,2023-06-04 02:45:48
8467,4,64.41,2022-08-14 23:19:43
4812,6,83.64,2020-01-22 21:30:40
4975,9,80.78,2022-07-16 07:30:53
9846,6,32.3,2021-07-14 23:20:31
685,9,75.42,2021-02-13 04:46:10
2067,6,44.47,2021-02-28 09:10:03
6010,1,42.68,2022-05-07 21:06:19
9035,2,25.04,2023-03-08 16:37:27
3868,2,63.6,2023-05-15 18:28:25
5972,3,71.47,2021-08-22 10:15:32
1241,2,24.94,2020-07-31 03:51:20
8593,9,41.01,2020-04-17 11:22:45
1761,7,63.18,2024-03-19 13:21:50
9714,6,22.45,2020-06-04 09:05:23
3785,3,26.77,2021-12-31 17:27:13
5517,6,42.81,2023-11-19 13:43:20
7261,5,93.94,2024-10-04 19:47:32
868,7,18.08,2023-07-28 02:05:31
1207,5,93.53,2020-03-14 04:15:14
5463,5,66.22,2023-10-31 18:14:52
3894,8,69.41,2021-12-25 01:21:36
8543,4,35.86,2021-11-26 11:01:47
806,1,64.75,2023-04-30 02:36:26
1014,2,77.97,2023-12-12 02:48:57
6677,4,35.17,2021-04-01 15:23:48
167,8,79.67,2024-09-24 04:25:01
4644,1,95.2,2020-11-06 21:00:47
8074,4,42.1,2021-10-21 16:41:28
2900,9,21.89,2020-07-24 02:55:09
5817,5,45.86,2021-05-12 13:29:56
8288,5,75.59,2022-01-11 02:33:18
4233,5,80.05,2024-04-03 01:20:41
3268,6,74.31,2020-01-05 11:23:44
6366,6,55.73,2022-06-23 08:31:50
6166,1,32.29,2021-11-14 05:44:42
268,6,19.08,2020-10-23 02:53:18
8612,1,15.52,2023-04-02 16:50:22
3065,5,78.44,2021-05-23 15:05:46
1376,6,70.52,2020-05-25 05:26:04
4484,1,42.44,2021-05-25 18:15:35
5914,4,59.28,2021-01-24 04:31:31
9689,4,31.04,2022-01-25 16:08:49
8948,9,25.09,2022-11-07 19:57:45
9545,4,59.16,2021-01-29 05:48:20
2510,6,86.76,2020-07-20 21:48:19
9101,6,87.0,2022-03-18 19:31:25
3949,2,90.0,2022-10-26 14:04:43
4244,5,13.98,2024-03-27 21:57:22
4097,9,23.19,2022-09-02 18:08:17
3340,6,37.0,2023-06-21 01:39:28
8952,3,30.41,2024-03-06 07:41:47
2983,4,92.57,2023-07-25 19:42:22
3330,4,52.1,2023-09-12 21:52:28
9729,9,31.88,2022-11-10 05:35:25
6218,7,24.66,2023-08-10 20:39:53
1791,1,34.75,2022-07-29 17:35:03
8813,3,10.52,2022-01-21 00:17:13
5524,6,81.46,2021-04-22 04:36:53
3068,7,53.84,2021-04-19 15:19:02
9198,1,95.37,2024-08-10 12:50:55
1247,9,58.78,2021-12-12 17:22:13
9629,8,80.45,2022-12-23 04:38:38
1720,7,63.31,2023-07-03 21:45:50
7312,7,66.63,2024-06-10 08:18:55
7448,9,60.24,2020-05-22 17:04:08
747,3,78.92,2022-08-07 16:06:29
3801,4,53.06,2020-11-11 01:35:18
1007,1,41.88,2021-08-03 03:38:03
2484,3,22.11,2021-12-23 18:01:14
8647,3,54.17,2023-03-01 10:15:57
1897,5,68.69,2023-08-23 16:01:17
6987,8,38.92,2024-12-19 01:17:10
880,9,40.82,2023-06-07 23:45:20
3470,6,52.28,2023-07-28 19:47:07
